datetime,temperature1,temperature2,temperature3,temperature4,pressure1,pressure2,pressure3,relay1,relay2
13:28:28,23.2,4.1,4.0,3.1,353,0,0,0,0
13:28:29,23.1,4.1,4.0,3.0,353,0,0,0,0
13:28:30,23.2,4.1,4.0,3.0,353,0,0,0,0
13:28:31,23.2,4.2,4.0,3.0,353,0,0,0,0
13:28:31,23.1,4.1,4.0,3.0,353,0,0,0,0
13:28:32,23.2,4.1,4.0,3.1,353,0,0,0,0
13:28:33,23.2,4.2,4.1,3.0,353,0,0,0,0
13:28:34,23.1,4.2,4.0,3.0,350,0,0,0,0
13:28:35,23.1,4.1,4.0,3.0,353,0,0,0,0
13:28:36,23.2,4.1,4.0,3.0,353,0,0,0,0
13:28:37,23.1,4.1,4.1,3.0,353,0,0,0,0
13:28:38,23.1,4.1,4.1,3.0,353,0,0,0,0
13:28:38,23.2,4.1,4.0,3.0,353,0,0,0,0
13:28:39,23.2,4.2,4.0,3.0,353,0,0,0,0
13:28:40,23.2,4.2,4.1,3.0,353,0,0,0,0
13:28:41,23.2,4.1,4.0,3.1,353,0,0,0,0
13:28:42,23.1,4.2,4.1,3.0,353,0,0,0,0
13:28:43,23.1,4.1,4.0,3.0,353,0,0,0,0
13:28:44,23.1,4.1,4.0,3.0,353,0,0,0,0
13:28:44,23.2,4.2,4.1,3.0,353,0,0,0,0
